Machine,Batch,Step,Comp,Tool,From,To,Dist,Switch
M1,0,Pick0,B,E3,"(0, 0)","(3, 0)",3.0,1
M1,0,Plc1,B,E3,"(3, 0)","(5, 3)",3.61,0
M1,0,Return2,-,E3,"(5, 3)","(0, 0)",5.83,0
M1,1,Pick3,H,E3,"(0, 0)","(9, 0)",9.0,0
M1,1,Pick4,I,E8,"(9, 0)","(10, 0)",1.0,1
M1,1,Pick5,G,E1,"(10, 0)","(8, 0)",2.0,1
M1,1,Plc6,H,E3,"(8, 0)","(10, 6)",6.32,1
M1,1,Plc7,I,E8,"(10, 6)","(9, 10)",4.12,1
M1,1,Plc8,G,E1,"(9, 10)","(9, 11)",1.0,1
M1,1,Return9,-,E1,"(9, 11)","(0, 0)",14.21,0
M1,2,Pick10,G,E1,"(0, 0)","(8, 0)",8.0,0
M1,2,Pick11,H,E3,"(8, 0)","(9, 0)",1.0,1
M1,2,Pick12,I,E8,"(9, 0)","(10, 0)",1.0,1
M1,2,Plc13,G,E1,"(10, 0)","(6, 10)",10.77,1
M1,2,Plc14,H,E3,"(6, 10)","(7, 9)",1.41,1
M1,2,Plc15,I,E8,"(7, 9)","(5, 7)",2.83,1
M1,2,Return16,-,E8,"(5, 7)","(0, 0)",8.6,0
M1,3,Pick17,B,E3,"(0, 0)","(3, 0)",3.0,1
M1,3,Pick18,B,E8,"(3, 0)","(3, 0)",0.0,1
M1,3,Pick19,F,E1,"(3, 0)","(7, 0)",4.0,1
M1,3,Plc20,B,E3,"(7, 0)","(9, 13)",13.15,1
M1,3,Plc21,B,E8,"(9, 13)","(5, 11)",4.47,1
M1,3,Plc22,F,E1,"(5, 11)","(4, 11)",1.0,1
M1,3,Return23,-,E1,"(4, 11)","(0, 0)",11.7,0
M1,4,Pick24,F,E1,"(0, 0)","(7, 0)",7.0,0
M1,4,Pick25,I,E8,"(7, 0)","(10, 0)",3.0,1
M1,4,Pick26,G,E3,"(10, 0)","(8, 0)",2.0,1
M1,4,Plc27,F,E1,"(8, 0)","(10, 13)",13.15,1
M1,4,Plc28,I,E8,"(10, 13)","(10, 12)",1.0,1
M1,4,Plc29,G,E3,"(10, 12)","(11, 13)",1.41,1
M1,4,Return30,-,E3,"(11, 13)","(0, 0)",17.03,0
M1,5,Pick31,H,E3,"(0, 0)","(9, 0)",9.0,0
M1,5,Pick32,G,E1,"(9, 0)","(8, 0)",1.0,1
M1,5,Pick33,B,E8,"(8, 0)","(3, 0)",5.0,1
M1,5,Plc34,H,E3,"(3, 0)","(2, 9)",9.06,1
M1,5,Plc35,G,E1,"(2, 9)","(5, 9)",3.0,1
M1,5,Plc36,B,E8,"(5, 9)","(2, 8)",3.16,1
M1,5,Return37,-,E8,"(2, 8)","(0, 0)",8.25,0
M1,6,Pick38,I,E8,"(0, 0)","(10, 0)",10.0,0
M1,6,Pick39,H,E3,"(10, 0)","(9, 0)",1.0,1
M1,6,Pick40,F,E1,"(9, 0)","(7, 0)",2.0,1
M1,6,Plc41,I,E8,"(7, 0)","(7, 11)",11.0,1
M1,6,Plc42,H,E3,"(7, 11)","(6, 12)",1.41,1
M1,6,Plc43,F,E1,"(6, 12)","(5, 13)",1.41,1
M1,6,Return44,-,E1,"(5, 13)","(0, 0)",13.93,0
M1,7,Pick45,C,E1,"(0, 0)","(4, 0)",4.0,0
M1,7,Pick46,C,E8,"(4, 0)","(4, 0)",0.0,1
M1,7,Pick47,B,E3,"(4, 0)","(3, 0)",1.0,1
M1,7,Plc48,C,E1,"(3, 0)","(6, 8)",8.54,1
M1,7,Plc49,C,E8,"(6, 8)","(6, 13)",5.0,1
M1,7,Plc50,B,E3,"(6, 13)","(2, 12)",4.12,1
M1,7,Return51,-,E3,"(2, 12)","(0, 0)",12.17,0
M1,8,Pick52,B,E3,"(0, 0)","(3, 0)",3.0,0
M1,8,Pick53,B,E8,"(3, 0)","(3, 0)",0.0,1
M1,8,Pick54,G,E1,"(3, 0)","(8, 0)",5.0,1
M1,8,Plc55,B,E3,"(8, 0)","(7, 6)",6.08,1
M1,8,Plc56,B,E8,"(7, 6)","(7, 8)",2.0,1
M1,8,Plc57,G,E1,"(7, 8)","(6, 4)",4.12,1
M1,8,Return58,-,E1,"(6, 4)","(0, 0)",7.21,0
M1,9,Pick59,C,E1,"(0, 0)","(4, 0)",4.0,0
M1,9,Pick60,C,E8,"(4, 0)","(4, 0)",0.0,1
M1,9,Pick61,B,E3,"(4, 0)","(3, 0)",1.0,1
M1,9,Plc62,C,E1,"(3, 0)","(7, 4)",5.66,1
M1,9,Plc63,C,E8,"(7, 4)","(2, 5)",5.1,1
M1,9,Plc64,B,E3,"(2, 5)","(3, 4)",1.41,1
